ONo,Name,Desc,Url
1,OpenAstronomy,Look at the Universe with the power of open source,https://summerofcode.withgoogle.com/programs/2022/organizations/openastronomy
2,KDE Community,International team developing Open Source software,https://summerofcode.withgoogle.com/programs/2022/organizations/kde-community
3,PEcAn Project,Develop and promote tools for ecosystem modeling,https://summerofcode.withgoogle.com/programs/2022/organizations/pecan-project
4,NumFOCUS,NumFOCUS promotes open source scientific software.,https://summerofcode.withgoogle.com/programs/2022/organizations/numfocus
5,Open Food Facts,Better food choices for your health & the planet,https://summerofcode.withgoogle.com/programs/2022/organizations/open-food-facts
6,moja global,Collaboration for change,https://summerofcode.withgoogle.com/programs/2022/organizations/moja-global
7,OpenVINO Toolkit,Make AI inference faster and easier to deploy!,https://summerofcode.withgoogle.com/programs/2022/organizations/openvino-toolkit
8,Wikimedia Foundation,Brings free educational content to the world,https://summerofcode.withgoogle.com/programs/2022/organizations/wikimedia-foundation
9,JBoss Community,Community of projects around JBoss Middleware,https://summerofcode.withgoogle.com/programs/2022/organizations/jboss-community
10,Intel Video and Audio for Linux,We enable Linux Audio and Video for Intel,https://summerofcode.withgoogle.com/programs/2022/organizations/intel-video-and-audio-for-linux
11,Chromium,"Fast, seamless, safe, and reliable web for all",https://summerofcode.withgoogle.com/programs/2022/organizations/chromium-lj
12,OpenCV,++ beneficial uses of computer vision in society,https://summerofcode.withgoogle.com/programs/2022/organizations/opencv
13,BRL-CAD,3D CAD & other computer-aided tech (CAx),https://summerofcode.withgoogle.com/programs/2022/organizations/brl-cad
14,CRIU,Chekpoint/Restore for Linux tasks and containers,https://summerofcode.withgoogle.com/programs/2022/organizations/criu
15,OpenWISP,The Hackable Network Management System,https://summerofcode.withgoogle.com/programs/2022/organizations/openwisp
16,GeomScale,Scalable geometric and statistical software,https://summerofcode.withgoogle.com/programs/2022/organizations/geomscale
17,Red Hen Lab,Research on Multimodal Communication,https://summerofcode.withgoogle.com/programs/2022/organizations/red-hen-lab
18,OWASP Foundation,No more insecure software.,https://summerofcode.withgoogle.com/programs/2022/organizations/owasp-foundation
19,Debian,The Universal Operating System,https://summerofcode.withgoogle.com/programs/2022/organizations/debian
20,Inkscape,Draw freely!,https://summerofcode.withgoogle.com/programs/2022/organizations/inkscape
21,RTEMS Project,A real-time operating system for Earth & Space,https://summerofcode.withgoogle.com/programs/2022/organizations/rtems-project
22,MDAnalysis,Analysis of molecular simulations data with Python,https://summerofcode.withgoogle.com/programs/2022/organizations/mdanalysis
23,The Mifos Initiative,End Poverty One Line of Code at a Time,https://summerofcode.withgoogle.com/programs/2022/organizations/the-mifos-initiative
24,Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,https://summerofcode.withgoogle.com/programs/2022/organizations/global-alliance-for-genomics-and-health
25,CGAL Project,C++ library of computational geometry,https://summerofcode.withgoogle.com/programs/2022/organizations/cgal-project
26,The Honeynet Project,Honeypots and Threat Intelligence R&D,https://summerofcode.withgoogle.com/programs/2022/organizations/the-honeynet-project
27,Ceph,The Future of Storage,https://summerofcode.withgoogle.com/programs/2022/organizations/ceph
28,ReactOS Foundation,Open your windows to freedom!,https://summerofcode.withgoogle.com/programs/2022/organizations/reactos-foundation
29,LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,https://summerofcode.withgoogle.com/programs/2022/organizations/llvm-compiler-infrastructure
30,libvirt,Virtualization abstraction library,https://summerofcode.withgoogle.com/programs/2022/organizations/libvirt
31,FFmpeg,"Record, convert and stream audio & video",https://summerofcode.withgoogle.com/programs/2022/organizations/ffmpeg
32,Open3D team,A Modern Library for 3D Data Processing,https://summerofcode.withgoogle.com/programs/2022/organizations/open3d-team
33,Ste||ar group,Shaping a Scalable Future,https://summerofcode.withgoogle.com/programs/2022/organizations/stear-group
34,SPDX,An open ISO standard for SBOMs,https://summerofcode.withgoogle.com/programs/2022/organizations/spdx
35,MoveIt,Moving robots into the future,https://summerofcode.withgoogle.com/programs/2022/organizations/moveit
36,MIT App Inventor,Anyone can build apps with global impact.,https://summerofcode.withgoogle.com/programs/2022/organizations/mit-app-inventor
37,Rizin,Rizin reverse engineering framework and toolset,https://summerofcode.withgoogle.com/programs/2022/organizations/rizin
38,AOSSIE,Australian Umbrella Org for Open-Source Projects,https://summerofcode.withgoogle.com/programs/2022/organizations/aossie
39,DBpedia,Global and Unified Access to Knowledge Graphs.,https://summerofcode.withgoogle.com/programs/2022/organizations/dbpedia
40,Open Robotics,Development of open source robotics,https://summerofcode.withgoogle.com/programs/2022/organizations/open-robotics
41,"Department of Biomedical Informatics, Emory University",Biomedical research to advance healthcare,https://summerofcode.withgoogle.com/programs/2022/organizations/department-of-biomedical-informatics-emory-university
42,TianoCore,"Modern, open source, UEFI BIOS firmware",https://summerofcode.withgoogle.com/programs/2022/organizations/tianocore
43,Oppia Foundation,"Free platform for interactive, tutor-like lessons",https://summerofcode.withgoogle.com/programs/2022/organizations/oppia-foundation
44,Unikraft,Unikraft is a fast and secure unikernel SDK,https://summerofcode.withgoogle.com/programs/2022/organizations/unikraft
45,coreboot,"Fast, secure and flexible BIOS firmware",https://summerofcode.withgoogle.com/programs/2022/organizations/coreboot
46,TARDIS RT Collaboration,Exploring supernovae made easy,https://summerofcode.withgoogle.com/programs/2022/organizations/tardis-rt-collaboration
47,MetaCall,Simplifying the embedding of programming languages,https://summerofcode.withgoogle.com/programs/2022/organizations/metacall
48,mlpack,"a fast, flexible machine learning library",https://summerofcode.withgoogle.com/programs/2022/organizations/mlpack
49,Mixxx,DJ Mixing App With Powerful Features For All DJs,https://summerofcode.withgoogle.com/programs/2022/organizations/mixxx
50,OpenStreetMap,Create and distribute free geodata for the world,https://summerofcode.withgoogle.com/programs/2022/organizations/openstreetmap
51,GNOME Foundation,A diverse and sustainable free software desktop.,https://summerofcode.withgoogle.com/programs/2022/organizations/gnome-foundation
52,Liquid Galaxy project,We code immersive and interactive aps with G Earth,https://summerofcode.withgoogle.com/programs/2022/organizations/liquid-galaxy-project
53,LibreOffice,LibreOffice is a free and open source office suite,https://summerofcode.withgoogle.com/programs/2022/organizations/libreoffice
54,JabRef e.V.,Open Source bibliography manager,https://summerofcode.withgoogle.com/programs/2022/organizations/jabref-ev
55,RoboComp,Open-source framework to develop robot components,https://summerofcode.withgoogle.com/programs/2022/organizations/robocomp
56,The Linux Foundation,Non-profit consortium fostering growth of Linux,https://summerofcode.withgoogle.com/programs/2022/organizations/the-linux-foundation
57,CERN-HSF,Umbrella for Particle Physics-related projects,https://summerofcode.withgoogle.com/programs/2022/organizations/cern-hsf
58,Submitty,Homework Autograding and Course Management Tools,https://summerofcode.withgoogle.com/programs/2022/organizations/submitty
59,Forschungszentrum Jülich,Shaping change: open source for Big Science,https://summerofcode.withgoogle.com/programs/2022/organizations/forschungszentrum-julich
60,The FreeBSD Project,FreeBSD: An OS for servers to embedded systems,https://summerofcode.withgoogle.com/programs/2022/organizations/the-freebsd-project
61,Neutralinojs,Lightweight cross-platform desktop app framework,https://summerofcode.withgoogle.com/programs/2022/organizations/neutralinojs
62,GNU Octave,Free Your Numbers,https://summerofcode.withgoogle.com/programs/2022/organizations/gnu-octave
63,The NetBSD Foundation,Of course it runs NetBSD,https://summerofcode.withgoogle.com/programs/2022/organizations/the-netbsd-foundation
64,QEMU,Open source machine emulator and virtualizer,https://summerofcode.withgoogle.com/programs/2022/organizations/qemu
65,Mathesar,Webapp providing a UX-first interface to databases,https://summerofcode.withgoogle.com/programs/2022/organizations/mathesar
66,Performance Co-Pilot,System performance analysis,https://summerofcode.withgoogle.com/programs/2022/organizations/performance-co-pilot
67,GNU Radio,The free & open software radio ecosystem,https://summerofcode.withgoogle.com/programs/2022/organizations/gnu-radio
68,omegaUp,Open CS Education as a catalyst for social change,https://summerofcode.withgoogle.com/programs/2022/organizations/omegaup
69,Kart Project,Distributed version-control for geospatial data,https://summerofcode.withgoogle.com/programs/2022/organizations/kart-project
70,CHIPS Alliance,"Open source IP, tools & standards for ASIC/FPGA",https://summerofcode.withgoogle.com/programs/2022/organizations/chips-alliance
71,GNSS-SDR,An open source GNSS software-defined receiver,https://summerofcode.withgoogle.com/programs/2022/organizations/gnss-sdr
72,Weaviate,The ML-first vector search engine,https://summerofcode.withgoogle.com/programs/2022/organizations/weaviate
73,OpenMRS,"Write Code, Save Lives.",https://summerofcode.withgoogle.com/programs/2022/organizations/openmrs
74,Kodi,The ultimate entertainment center,https://summerofcode.withgoogle.com/programs/2022/organizations/kodi
75,AnkiDroid,AnkiDroid makes remembering things easy,https://summerofcode.withgoogle.com/programs/2022/organizations/ankidroid
76,AFLplusplus,State of the art fuzzing for better security,https://summerofcode.withgoogle.com/programs/2022/organizations/aflplusplus
77,Zulip,Modern team chat app designed for efficiency.,https://summerofcode.withgoogle.com/programs/2022/organizations/zulip
78,IOOS,"Our eyes on the ocean, coasts, and Great Lakes",https://summerofcode.withgoogle.com/programs/2022/organizations/ioos
79,Ruby,Ruby is an object-oriented programming language,https://summerofcode.withgoogle.com/programs/2022/organizations/ruby
80,GNU Image Manipulation Program,GIMP is a cross-platform image editor,https://summerofcode.withgoogle.com/programs/2022/organizations/gnu-image-manipulation-program
81,Wellcome Sanger Tree of Life,Genome analysis across the whole tree of life,https://summerofcode.withgoogle.com/programs/2022/organizations/wellcome-sanger-institute
82,The ENIGMA Team,A free rapid game development environment.,https://summerofcode.withgoogle.com/programs/2022/organizations/the-enigma-team
83,Flashrom,"Reading, writing, verifying, erasing flash chips",https://summerofcode.withgoogle.com/programs/2022/organizations/flashrom
84,FRRouting,"Routing suite including BGP, IS-IS, LDP, OSPF, PIM",https://summerofcode.withgoogle.com/programs/2022/organizations/frrouting
85,Gentoo Foundation,"A flexible, source-based Linux distribution.",https://summerofcode.withgoogle.com/programs/2022/organizations/gentoo-foundation
86,Haskell.org,Purely functional programming language,https://summerofcode.withgoogle.com/programs/2022/organizations/haskellorg
87,Machine Learning for Science (ML4SCI),Machine learning applications in science,https://summerofcode.withgoogle.com/programs/2022/organizations/machine-learning-for-science-ml4sci
88,LEAP Encryption Access Project,Privacy should not be a priviledge,https://summerofcode.withgoogle.com/programs/2022/organizations/leap-encryption-access-project
89,PostgreSQL,The Most Advanced Open Source Relational Database,https://summerofcode.withgoogle.com/programs/2022/organizations/postgresql
90,Django Software Foundation,Web framework for perfectionists with deadlines,https://summerofcode.withgoogle.com/programs/2022/organizations/django-software-foundation-8o
91,Responsible AI and Human Centred Technology,Human-centered and responsible AI for all,https://summerofcode.withgoogle.com/programs/2022/organizations/responsible-ai-and-human-centred-technology
92,Git,"Fast,Scalable,Distributed revision control system",https://summerofcode.withgoogle.com/programs/2022/organizations/git
93,OpenAFS,An opensource distributed filesystem product.,https://summerofcode.withgoogle.com/programs/2022/organizations/openafs
94,Plone Foundation,"Python-based CMS, with React front-end.",https://summerofcode.withgoogle.com/programs/2022/organizations/plone-foundation
95,SeaQL,Building data intensive applications in Rust,https://summerofcode.withgoogle.com/programs/2022/organizations/seaql
96,Jitsi,State-of-the-art video conferencing,https://summerofcode.withgoogle.com/programs/2022/organizations/jitsi
97,Wagtail,The powerful Python CMS for modern websites,https://summerofcode.withgoogle.com/programs/2022/organizations/wagtail
98,Organic Maps,"Offline maps app for tourists, cyclers & hikers",https://summerofcode.withgoogle.com/programs/2022/organizations/organic-maps
99,Godot Engine,Multi-platform 2D and 3D game engine,https://summerofcode.withgoogle.com/programs/2022/organizations/godot-engine
100,Fortran-lang,High-performance parallel programming language,https://summerofcode.withgoogle.com/programs/2022/organizations/fortran-lang
101,Center for Translational Data Science,Develop translational data science.,https://summerofcode.withgoogle.com/programs/2022/organizations/center-for-translational-data-science
102,RADAR-base,Improve people's quality of life using patient generated data,https://summerofcode.withgoogle.com/programs/2022/organizations/radar-base
103,VideoLAN,Open source believers rocking the multimedia world,https://summerofcode.withgoogle.com/programs/2022/organizations/videolan
104,The JPF team,JPF is a special JVM for software verification,https://summerofcode.withgoogle.com/programs/2022/organizations/the-jpf-team
105,INCF,An open & FAIR neuroscience standards organization,https://summerofcode.withgoogle.com/programs/2022/organizations/incf
106,X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",https://summerofcode.withgoogle.com/programs/2022/organizations/xorg-foundation
107,CHAOSS,Community Health Analytics Open Source Software,https://summerofcode.withgoogle.com/programs/2022/organizations/chaoss
108,AboutCode,"Scan code for origin, license and vulnerabilities",https://summerofcode.withgoogle.com/programs/2022/organizations/aboutcode
109,JdeRobot,Toolkit for developing Robotics applications,https://summerofcode.withgoogle.com/programs/2022/organizations/jderobot
110,CNCF,Building sustainable ecosystems for cloud native,https://summerofcode.withgoogle.com/programs/2022/organizations/cncf
111,Casbin,Authorization library that supports RBAC and ABAC,https://summerofcode.withgoogle.com/programs/2022/organizations/casbin
112,FOSSology,Open Source License Compliance by OSS,https://summerofcode.withgoogle.com/programs/2022/organizations/fossology
113,International Catrobat Association,Free visual coding apps for computational thinking,https://summerofcode.withgoogle.com/programs/2022/organizations/international-catrobat-association
114,GitLab,Everyone can contribute,https://summerofcode.withgoogle.com/programs/2022/organizations/gitlab
115,Apache Software Foundation,Open source software to the public free of charge,https://summerofcode.withgoogle.com/programs/2022/organizations/apache-software-foundation
116,syslog-ng,"Enhanced log daemon, w/ wide range of I/O methods",https://summerofcode.withgoogle.com/programs/2022/organizations/syslog-ng
117,sktime,A unified framework for ML with time series,https://summerofcode.withgoogle.com/programs/2022/organizations/sktime
118,MuseScore,The World’s Most Popular Music Notation Software,https://summerofcode.withgoogle.com/programs/2022/organizations/musescore
119,SymPy,SymPy is a Python library for symbolic mathematics,https://summerofcode.withgoogle.com/programs/2022/organizations/sympy
120,Matrix.org,"Open, secure, decentralised communication",https://summerofcode.withgoogle.com/programs/2022/organizations/matrixorg
121,Eclipse Foundation,The Global Open Source Foundation,https://summerofcode.withgoogle.com/programs/2022/organizations/eclipse-foundation
122,Xfce,Lightweight and flexible linux desktop environment,https://summerofcode.withgoogle.com/programs/2022/organizations/xfce
123,Polypheny,The distributed and self-adaptive polystore,https://summerofcode.withgoogle.com/programs/2022/organizations/polypheny
124,The Julia Language,A fresh approach to technical computing,https://summerofcode.withgoogle.com/programs/2022/organizations/the-julia-language
125,Internet Health Report,Monitoring the Internet,https://summerofcode.withgoogle.com/programs/2022/organizations/internet-health-report
126,strace,Linux syscall tracer,https://summerofcode.withgoogle.com/programs/2022/organizations/strace
127,SageMath,Open-source mathematics software system,https://summerofcode.withgoogle.com/programs/2022/organizations/sagemath
128,Public Lab,Tools for communities to measure pollution,https://summerofcode.withgoogle.com/programs/2022/organizations/public-lab
129,OSGeo (Open Source Geospatial Foundation),The Open Source Geospatial Foundation,https://summerofcode.withgoogle.com/programs/2022/organizations/osgeo-open-source-geospatial-foundation
130,XWiki,The Advanced Open Source Enterprise Wiki,https://summerofcode.withgoogle.com/programs/2022/organizations/xwiki
131,The Palisadoes Foundation,Transforming non-profit organizations in the cloud,https://summerofcode.withgoogle.com/programs/2022/organizations/the-palisadoes-foundation
132,Joplin,The secure note taking application,https://summerofcode.withgoogle.com/programs/2022/organizations/joplin
133,TensorFlow,TensorFlow is a ML framework for everyone.,https://summerofcode.withgoogle.com/programs/2022/organizations/tensorflow
134,SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,https://summerofcode.withgoogle.com/programs/2022/organizations/score-lab
135,MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations",https://summerofcode.withgoogle.com/programs/2022/organizations/metabrainz-foundation-inc
136,Swift,"Fast, safe, and expressive programming language",https://summerofcode.withgoogle.com/programs/2022/organizations/swift
137,Drupal Association,The best open source digital experience platform,https://summerofcode.withgoogle.com/programs/2022/organizations/drupal-association
138,Genome Assembly and Annotation,Providing freely accessible genomic data,https://summerofcode.withgoogle.com/programs/2022/organizations/genome-assembly-and-annotation
139,Audacity,"Free, open source, cross-platform audio software",https://summerofcode.withgoogle.com/programs/2022/organizations/audacity
140,Open Technologies Alliance - GFOSS,Promote Open Standards and Open Source,https://summerofcode.withgoogle.com/programs/2022/organizations/open-technologies-alliance-gfoss
141,Cuneiform Digital Library Initiative (CDLI),Curating humanity's oldest written sources,https://summerofcode.withgoogle.com/programs/2022/organizations/cuneiform-digital-library-initiative-cdli
142,cBioPortal for Cancer Genomics,Aid discovery in complex cancer genomics data,https://summerofcode.withgoogle.com/programs/2022/organizations/cbioportal-for-cancer-genomics
143,Jenkins,"Jenkins, build great things at any scale",https://summerofcode.withgoogle.com/programs/2022/organizations/jenkins-wp
144,MZmine,Open-source software for mass spectrometry,https://summerofcode.withgoogle.com/programs/2022/organizations/mzmine
145,Homebrew,The Missing Package Manager for macOS (or Linux),https://summerofcode.withgoogle.com/programs/2022/organizations/homebrew
146,Joomla!,The flexible platform empowering website creators.,https://summerofcode.withgoogle.com/programs/2022/organizations/joomla
147,Open Bioinformatics Foundation (OBF),Open Source & Open Science in biological research,https://summerofcode.withgoogle.com/programs/2022/organizations/open-bioinformatics-foundation-obf
148,Keptn,Event-driven orchestration of cloud-native apps,https://summerofcode.withgoogle.com/programs/2022/organizations/keptn
149,FreeType,FreeType is a software library to render fonts.,https://summerofcode.withgoogle.com/programs/2022/organizations/freetype
150,Micro Electronics Research Lab - UITU,Accelerating Engineering Innovation,https://summerofcode.withgoogle.com/programs/2022/organizations/micro-electronics-research-lab-uitu
151,Open Chemistry,Advancing Open Source & Open Science for Chemistry,https://summerofcode.withgoogle.com/programs/2022/organizations/open-chemistry
152,Processing Foundation,To empower all people to learn to program,https://summerofcode.withgoogle.com/programs/2022/organizations/processing-foundation
153,Purr Data,Realtime Audio/Visual Programming Environment,https://summerofcode.withgoogle.com/programs/2022/organizations/purr-data
154,GRAME,Domain specific language for audio,https://summerofcode.withgoogle.com/programs/2022/organizations/grame
155,Learning Equality,Equity in education to transform lives,https://summerofcode.withgoogle.com/programs/2022/organizations/learning-equality
156,National Resource for Network Biology (NRNB),Developing open source tools for network biology,https://summerofcode.withgoogle.com/programs/2022/organizations/national-resource-for-network-biology-nrnb
157,Haiku,Operating system that targets personal computing.,https://summerofcode.withgoogle.com/programs/2022/organizations/haiku
158,Open Genome Informatics,Open access genomics and bioinformatics projects,https://summerofcode.withgoogle.com/programs/2022/organizations/open-genome-informatics
159,XMPP Standards Foundation,XSF develops an open-standard messaging protocol,https://summerofcode.withgoogle.com/programs/2022/organizations/xmpp-standards-foundation
160,Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,https://summerofcode.withgoogle.com/programs/2022/organizations/society-for-arts-and-technology-sat
161,ArduPilot,World's most advanced autonomous vehicle software,https://summerofcode.withgoogle.com/programs/2022/organizations/ardupilot
162,Sugar Labs,Learning software for children,https://summerofcode.withgoogle.com/programs/2022/organizations/sugar-labs
163,Monado,"Monado, the free and open source XR platform",https://summerofcode.withgoogle.com/programs/2022/organizations/monado
164,The ns-3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,https://summerofcode.withgoogle.com/programs/2022/organizations/the-ns-3-network-simulator-project
165,52°North Spatial Information Research GmbH,Innovative ideas & technologies in geoinformatics,https://summerofcode.withgoogle.com/programs/2022/organizations/52north-spatial-information-research-gmbh
166,Python Software Foundation,A programming language used for science & more,https://summerofcode.withgoogle.com/programs/2022/organizations/python-software-foundation
167,BeagleBoard.org,Open hardware computing for educators and makers,https://summerofcode.withgoogle.com/programs/2022/organizations/beagleboardorg
168,libcamera,Provide an open source camera stack for linux,https://summerofcode.withgoogle.com/programs/2022/organizations/libcamera
169,CCExtractor Development,"TV, Rust, Flutter, Linux, VR and C. In any order.",https://summerofcode.withgoogle.com/programs/2022/organizations/ccextractor-development
170,openSUSE Project,"Makers' choice for sysadmins, developers & users",https://summerofcode.withgoogle.com/programs/2022/organizations/opensuse-project
171,The Tor Project,Defend yourself against tracking and surveillance.,https://summerofcode.withgoogle.com/programs/2022/organizations/the-tor-project
172,Our World In Data,Explaining the world's biggest problems with data,https://summerofcode.withgoogle.com/programs/2022/organizations/our-world-in-data
173,Dart,Dart is a client language for apps on any platform,https://summerofcode.withgoogle.com/programs/2022/organizations/dart
174,Blender Foundation,The Freedom to Create,https://summerofcode.withgoogle.com/programs/2022/organizations/blender-foundation
175,Robolectric,Fast unit testing runtime for Android,https://summerofcode.withgoogle.com/programs/2022/organizations/robolectric
176,PowerDNS,PowerDNS provides open source DNS software,https://summerofcode.withgoogle.com/programs/2022/organizations/powerdns
177,LibreHealth,Healthcare for Humanity,https://summerofcode.withgoogle.com/programs/2022/organizations/librehealth
178,checkstyle,Helps to adheres of Java coding standard,https://summerofcode.withgoogle.com/programs/2022/organizations/checkstyle
179,MariaDB,The fastest growing Open Source Database,https://summerofcode.withgoogle.com/programs/2022/organizations/mariadb
180,rocket.chat,Open source team chat and communications platform,https://summerofcode.withgoogle.com/programs/2022/organizations/rocketchat
181,GNU Compiler Collection (GCC),GNU compilers,https://summerofcode.withgoogle.com/programs/2022/organizations/gnu-compiler-collection-gcc
182,libssh,The SSH library,https://summerofcode.withgoogle.com/programs/2022/organizations/libssh
183,UC OSPO,Amplifying Research Impact through Open Source,https://summerofcode.withgoogle.com/programs/2022/organizations/uc-ospo
184,ScummVM,Adventure and RPG preservation project,https://summerofcode.withgoogle.com/programs/2022/organizations/scummvm
185,Metasploit,World’s most used penetration testing framework,https://summerofcode.withgoogle.com/programs/2022/organizations/metasploit
186,Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,https://summerofcode.withgoogle.com/programs/2022/organizations/free-and-open-source-silicon-foundation
187,CircuitVerse.org,Build and learn logic circuits in the cloud!,https://summerofcode.withgoogle.com/programs/2022/organizations/circuitverseorg
188,Scala Center,Guide and support the Scala community,https://summerofcode.withgoogle.com/programs/2022/organizations/scala-center
189,Synfig,Open-source 2D animation software,https://summerofcode.withgoogle.com/programs/2022/organizations/synfig
190,Jenkins X,Accelerate Your Continuous Delivery on Kubernetes,https://summerofcode.withgoogle.com/programs/2022/organizations/jenkins-x
191,Electron,Cross-platform desktop apps with web technologies,https://summerofcode.withgoogle.com/programs/2022/organizations/electron
192,MBDyn,Open Source Multibody Simulation,https://summerofcode.withgoogle.com/programs/2022/organizations/mbdyn
193,Orcasound,Humans & AI listening together to save the whales.,https://summerofcode.withgoogle.com/programs/2022/organizations/orcasound
194,Software Heritage,The universal source code archive,https://summerofcode.withgoogle.com/programs/2022/organizations/software-heritage
195,LibreCube Initiative,Open Source Space and Earth Exploration,https://summerofcode.withgoogle.com/programs/2022/organizations/librecube-initiative
196,freifunk,Free and open wireless networks,https://summerofcode.withgoogle.com/programs/2022/organizations/freifunk
197,R project for statistical computing,R software for statistical computing & graphics,https://summerofcode.withgoogle.com/programs/2022/organizations/r-project-for-statistical-computing
198,Mayor's Office of New Urban Mechanics,Exploring new approaches to civic life.,https://summerofcode.withgoogle.com/programs/2022/organizations/mayors-office-of-new-urban-mechanics
